Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
48,14954725,B11701165,"2025-12-17 10:16:04",-0.0020,3,b11701165
49,14970950,R14922A13,"2025-12-22 12:36:51",-0.0021,6,r14922a13
50,14983279,R14922015,"2025-12-20 12:41:44",-0.0021,12,weixuan0102
51,14995192,b12505009,"2025-12-21 14:16:00",-0.0021,8,b12505009
52,14958860,B11202015,"2025-12-19 09:43:08",-0.0021,4,enshengteng
53,14956901,B13902014,"2025-12-14 06:25:19",-0.0023,5,willychanntu
54,14954443,r14946008,"2025-12-24 02:04:31",-0.0023,14,r14946008
55,14952565,R13943141,"2025-12-22 15:30:26",-0.0024,8,hank7171
56,15009299,b13705012,"2025-12-22 08:30:11",-0.0024,3,yujuanlin0215
57,14956702,R13945041,"2025-12-19 04:06:03",-0.0024,4,kakakamiko
58,15003455,D13922020,"2025-12-22 08:09:04",-0.0025,2,d13922020
59,14979162,R14944026,"2025-12-18 08:42:50",-0.0025,7,colachenkc
60,14987278,R13943068,"2025-12-21 07:30:49",-0.0025,13,r13943068ntu
61,14955260,R13943063,"2025-12-19 13:22:44",-0.0025,9,clc063
62,15003315,D13944014,"2025-12-22 07:40:45",-0.0025,7,niewenhua
63,14953035,r14922140,"2025-12-21 17:38:15",-0.0026,17,r14922140
64,14991892,R13922142,"2025-12-19 16:58:22",-0.0026,6,r13922142
65,14956315,r13943142,"2025-12-23 05:13:53",-0.0026,21,r13943142
66,14955127,r14922a15,"2025-12-18 05:39:57",-0.0026,11,ryanenn
67,14951840,r13521513,"2025-12-21 04:59:46",-0.0026,13,yunlo0511
68,14952457,r13922a23,"2025-12-13 06:19:44",-0.0027,4,ntur13922a23
69,14991817,r14943081,"2025-12-19 19:03:41",-0.0027,6,shangtinglin
70,14995976,D14922008,"2025-12-21 10:35:21",-0.0027,2,d14922008
71,14999841,b11902166,"2025-12-21 04:09:41",-0.0027,4,b11902166
72,15000928,D14922020,"2025-12-22 00:02:26",-0.0029,2,ntuonlyin
73,14982866,R13521512,"2025-12-19 16:01:28",-0.0030,8,markchen0823
74,14991393,r13922a15,"2025-12-18 14:00:09",-0.0030,1,ntuhoshichen
75,14973047,R13922211,"2025-12-21 02:02:24",-0.0031,12,r13922211ntu
76,14998211,b12701220,"2025-12-21 02:19:29",-0.0031,6,chiumuen
77,14985965,R14922017,"2025-12-21 17:13:45",-0.0032,2,kappaleee
78,14965633,R14922A10,"2025-12-20 09:58:09",-0.0032,11,skltrrf
79,15002312,B12902115,"2025-12-22 09:35:02",-0.0032,3,b12902115
80,15000300,B13901009,"2025-12-21 11:46:59",-0.0033,5,chianrulin
81,14970801,r14922A03,"2025-12-22 03:00:27",-0.0034,14,hungyulun
82,14995469,R13724037,"2025-12-22 04:05:20",-0.0035,6,yihsiangyang
83,14971123,R14922A05,"2025-12-21 14:03:51",-0.0036,5,r14922a05
84,14962116,r13543003,"2025-12-21 06:58:52",-0.0038,6,chengyaoliang
85,14961860,R14943027,"2025-12-21 16:17:22",-0.0039,4,jeffchen2025
86,14961764,r13543067,"2025-12-20 06:34:15",-0.0041,7,r13543067
87,14998345,r13943105,"2025-12-21 08:10:06",-0.0042,2,r13943105
88,14970429,R13922190,"2025-12-23 12:45:44",-0.0042,6,r13922190
89,14955643,r14921017,"2025-12-19 06:53:04",-0.0044,4,vicky1231
90,14957798,R13943101,"2025-12-13 12:17:44",-0.0044,5,michael891114
91,15003476,D12922035,"2025-12-22 06:04:48",-0.0045,2,chujunpengjunior
92,14957631,R12723057,"2025-12-14 16:15:39",-0.0045,4,r12723057
93,15005713,B11901174,"2025-12-22 14:44:49",-0.0047,2,b11901174
94,14956873,R129220A9,"2025-12-19 07:20:03",-0.0048,9,r129220a9
95,14955967,r13943071,"2025-12-23 06:22:01",-0.0049,4,shihshanchi
96,14997966,d14922023,"2025-12-20 16:03:47",-0.0056,6,d14922023
97,15012720,B10502086,"2025-12-23 04:01:03",-0.0057,1,timothykuo0322
0,14942455,output.csv,"2025-12-10 09:25:20",-0.0062,1,
98,14972755,r13943151,"2025-12-22 06:33:50",-0.0066,2,r13943151
99,15011134,R13944057,"2025-12-22 15:39:34",-0.0072,1,jiasui
100,15001384,r13725020,"2025-12-21 11:56:24",-0.0084,6,r13725020
101,14976069,t14902202,"2025-12-21 11:13:30",-0.0099,3,t14902202
102,15012952,b09605011,"2025-12-23 13:12:02",-0.0121,3,jljklioio
103,15005527,R13922A22,"2025-12-22 03:25:04",-0.0140,6,akinesia112
